engine,sync,kernel,threads,rows,cols,cells,gens_per_run,reps,gens_per_s_median,gens_per_s_min,gens_per_s_max,cell_updates_per_s,lat_samples,lat_mean_ns,lat_p50_ns,lat_p90_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,timer_tick_ns,resolution_limited
serial/scalar,serial,scalar,1,8,8,64,952497,5,9.51933e+06,8.28763e+06,9.56049e+06,6.09237e+08,3800,116.294,125,125,208,209,209,41,1
serial/bitslice,serial,bitslice,1,8,8,64,1599169,5,1.92929e+07,1.89788e+07,1.94772e+07,1.23475e+09,3800,59.3858,42,84,84,84,125,41,1
mutex/scalar,mutex,scalar,1,8,8,64,852601,5,8.81378e+06,8.77634e+06,8.89151e+06,5.64082e+08,3800,125.779,125,125,167,167,209,41,1
mutex/scalar,mutex,scalar,2,8,8,64,42791,5,393920,368986,427685,2.52109e+07,3800,2412.64,2166,3000,7291,17417,30125,41,0
mutex/scalar,mutex,scalar,4,8,8,64,9758,5,105133,99614.9,110278,6.72854e+06,3800,8831.59,8375,12375,19917,27292,50250,41,0
mutex/scalar,mutex,scalar,6,8,8,64,5642,5,52599.1,44280.5,58860.6,3.36634e+06,3800,17529.2,14958,27458,39250,56334,86125,41,0
mutex/scalar,mutex,scalar,8,8,8,64,3319,5,35602.7,31739.4,38346.2,2.27858e+06,3800,31251.9,29709,47125,70625,85208,120041,41,0
mutex/bitslice,mutex,bitslice,1,8,8,64,1628862,5,1.58765e+07,1.41508e+07,1.63064e+07,1.0161e+09,3800,71.6776,83,84,84,166,250,41,1
mutex/bitslice,mutex,bitslice,2,8,8,64,49939,5,484197,376399,494214,3.09886e+07,3800,2228.07,1791,3458,7584,21000,46250,41,0
mutex/bitslice,mutex,bitslice,4,8,8,64,11086,5,108221,104280,117879,6.92613e+06,3800,9028.3,8458,12667,24125,39958,52084,41,0
mutex/bitslice,mutex,bitslice,6,8,8,64,5602,5,59878.5,54167.3,67466.4,3.83223e+06,3800,14804.6,13209,22500,31000,43666,49208,41,0
mutex/bitslice,mutex,bitslice,8,8,8,64,3619,5,34607.2,32846.9,37536.3,2.21486e+06,3800,31694.3,30416,47667,71542,85375,109000,41,0
barrier/scalar,barrier,scalar,1,8,8,64,790998,5,7.6756e+06,7.09523e+06,8.031e+06,4.91238e+08,3800,140.438,125,167,208,250,292,41,1
barrier/scalar,barrier,scalar,2,8,8,64,407591,5,4.05031e+06,3.8733e+06,4.2625e+06,2.5922e+08,3800,293.355,208,583,708,19167,23625,41,1
barrier/scalar,barrier,scalar,4,8,8,64,110436,5,1.1227e+06,1.08582e+06,1.16529e+06,7.18527e+07,3800,869.09,834,959,1042,10084,22625,41,0
barrier/scalar,barrier,scalar,6,8,8,64,71918,5,822513,741949,833101,5.26408e+07,3800,1264.06,1042,1333,10291,30709,45833,41,0
barrier/scalar,barrier,scalar,8,8,8,64,42938,5,441498,416110,454278,2.82559e+07,3800,2252.24,1375,1666,17166,62791,96292,41,0
barrier/bitslice,barrier,bitslice,1,8,8,64,1387345,5,1.40738e+07,1.40223e+07,1.41049e+07,9.00723e+08,3800,84.09,83,84,125,167,208,41,1
barrier/bitslice,barrier,bitslice,2,8,8,64,481649,5,4.52773e+06,4.30906e+06,4.7848e+06,2.89775e+08,3800,173.607,167,167,209,5291,11833,41,1
barrier/bitslice,barrier,bitslice,4,8,8,64,113970,5,1.21485e+06,1.16397e+06,1.35186e+06,7.77503e+07,3800,1065.65,792,1000,10875,25333,41959,41,0
barrier/bitslice,barrier,bitslice,6,8,8,64,60983,5,905869,782749,1.0455e+06,5.79756e+07,3800,970.57,958,1084,1208,8625,16625,41,0
barrier/bitslice,barrier,bitslice,8,8,8,64,24155,5,224644,158311,401657,1.43772e+07,3800,2847.85,1334,5125,29291,63791,112500,41,0
atomic/scalar,atomic,scalar,1,8,8,64,923095,5,9.07491e+06,9.00553e+06,9.24655e+06,5.80794e+08,3800,121.217,125,125,167,209,250,41,1
atomic/scalar,atomic,scalar,2,8,8,64,390408,5,5.52983e+06,4.35243e+06,5.87242e+06,3.53909e+08,3800,197.039,208,209,500,542,10000,41,1
atomic/scalar,atomic,scalar,4,8,8,64,147713,5,1.72412e+06,1.53932e+06,1.80999e+06,1.10344e+08,3800,576.689,584,667,667,12333,13041,41,0
atomic/scalar,atomic,scalar,6,8,8,64,138713,5,1.61299e+06,1.4235e+06,1.69993e+06,1.03231e+08,3800,564.298,542,666,708,709,750,41,0
atomic/scalar,atomic,scalar,8,8,8,64,27163,5,186333,79407.7,490898,1.19253e+07,3800,16546.7,16041,30834,39125,48000,52750,41,0
atomic/bitslice,atomic,bitslice,1,8,8,64,1798625,5,1.81318e+07,1.80223e+07,1.8381e+07,1.16044e+09,3800,68.8924,83,84,84,167,292,41,1
atomic/bitslice,atomic,bitslice,2,8,8,64,789339,5,6.22006e+06,5.93547e+06,7.15716e+06,3.98084e+08,3800,160.724,167,167,209,250,500,41,1
atomic/bitslice,atomic,bitslice,4,8,8,64,171206,5,1.86442e+06,1.64541e+06,1.91229e+06,1.19323e+08,3800,502.84,541,625,667,667,792,41,0
atomic/bitslice,atomic,bitslice,6,8,8,64,144333,5,589512,388933,866445,3.77288e+07,3800,2261.06,542,3000,29291,43042,45083,41,0
atomic/bitslice,atomic,bitslice,8,8,8,64,13127,5,71243.9,56981.7,139255,4.55961e+06,3800,14982.2,15375,31625,41625,48667,67625,41,0
serial/scalar,serial,scalar,1,16,16,256,240422,5,2.40093e+06,2.37723e+06,2.45176e+06,6.14637e+08,3800,418.52,417,417,541,583,12750,41,0
serial/bitslice,serial,bitslice,1,16,16,256,1031524,5,1.0393e+07,1.0342e+07,1.04573e+07,2.6606e+09,3800,106.261,125,125,125,208,209,41,1
mutex/scalar,mutex,scalar,1,16,16,256,239076,5,2.41015e+06,2.39864e+06,2.41492e+06,6.16997e+08,3800,421.272,417,458,459,459,500,41,0
mutex/scalar,mutex,scalar,2,16,16,256,41037,5,406173,401565,410253,1.0398e+08,3800,2520,2333,3292,4958,7917,10709,41,0
mutex/scalar,mutex,scalar,4,16,16,256,11552,5,115890,115464,116759,2.96679e+07,3800,8663.76,8333,12291,18250,24750,32625,41,0
mutex/scalar,mutex,scalar,6,16,16,256,6443,5,64217.5,63636.7,65152.1,1.64397e+07,3800,15597.1,13541,24333,31916,44833,59042,41,0
mutex/scalar,mutex,scalar,8,16,16,256,3790,5,37148.2,36929.7,40044.7,9.50993e+06,3800,26931.1,26791,38042,53334,69375,82708,41,0
mutex/scalar,mutex,scalar,10,16,16,256,2934,5,28102.3,27425.9,28743.2,7.19418e+06,3800,34079.2,31958,49542,71791,87583,98125,41,0
mutex/bitslice,mutex,bitslice,1,16,16,256,936441,5,9.35725e+06,9.19006e+06,9.40801e+06,2.39546e+09,3800,118.355,125,125,125,209,250,41,1
mutex/bitslice,mutex,bitslice,2,16,16,256,44553,5,451984,448409,454951,1.15708e+08,3800,2152.61,2084,2209,3458,6041,19042,41,0
mutex/bitslice,mutex,bitslice,4,16,16,256,11662,5,118603,115097,119374,3.03624e+07,3800,8987.8,8291,12917,24625,30458,39125,41,0
mutex/bitslice,mutex,bitslice,6,16,16,256,6650,5,65371.3,62385.5,66115.7,1.6735e+07,3800,15475.8,13541,24917,31667,44583,75458,41,0
mutex/bitslice,mutex,bitslice,8,16,16,256,3892,5,38104.5,37188.4,38278.5,9.75474e+06,3800,26334.7,26167,37041,51709,66917,75083,41,0
mutex/bitslice,mutex,bitslice,10,16,16,256,2869,5,29388.3,29291.7,30168.2,7.52339e+06,3800,34492.9,32458,49875,72292,80458,89542,41,0
barrier/scalar,barrier,scalar,1,16,16,256,232542,5,2.31707e+06,2.30415e+06,2.3384e+06,5.93171e+08,3800,444.441,417,459,542,666,7833,41,0
barrier/scalar,barrier,scalar,2,16,16,256,254787,5,2.53981e+06,2.2963e+06,2.77202e+06,6.5019e+08,3800,374.002,375,375,417,583,13750,41,1
barrier/scalar,barrier,scalar,4,16,16,256,134051,5,1.33284e+06,1.25249e+06,1.38694e+06,3.41206e+08,3800,820.329,791,1084,1167,1250,10042,41,0
barrier/scalar,barrier,scalar,6,16,16,256,87777,5,1.18623e+06,1.00294e+06,1.34959e+06,3.03676e+08,3800,822.138,833,834,875,2042,7750,41,0
barrier/scalar,barrier,scalar,8,16,16,256,31228,5,675274,651200,710684,1.7287e+08,3800,1447.75,1417,1625,1750,12167,17625,41,0
barrier/scalar,barrier,scalar,10,16,16,256,39861,5,454024,350390,482571,1.1623e+08,3800,2021.13,1500,1750,13208,20083,37291,41,0
barrier/bitslice,barrier,bitslice,1,16,16,256,875205,5,8.73025e+06,8.66546e+06,8.75906e+06,2.23494e+09,3800,127.84,125,125,167,167,292,41,1
barrier/bitslice,barrier,bitslice,2,16,16,256,543322,5,5.36253e+06,4.59738e+06,5.70517e+06,1.37281e+09,3800,176.086,167,208,209,209,375,41,1
barrier/bitslice,barrier,bitslice,4,16,16,256,129621,5,1.26735e+06,1.25711e+06,1.42607e+06,3.24442e+08,3800,822.643,833,917,1000,4542,18625,41,0
barrier/bitslice,barrier,bitslice,6,16,16,256,107175,5,1.12765e+06,1.11741e+06,1.16805e+06,2.8868e+08,3800,869.781,875,958,1000,1667,11083,41,0
barrier/bitslice,barrier,bitslice,8,16,16,256,69462,5,704502,685169,717913,1.80353e+08,3800,1498.36,1375,1542,4708,17083,65375,41,0
barrier/bitslice,barrier,bitslice,10,16,16,256,57400,5,464358,434909,532468,1.18876e+08,3800,1871.61,1500,1750,11500,19541,28959,41,0
atomic/scalar,atomic,scalar,1,16,16,256,245518,5,2.43047e+06,2.42813e+06,2.43654e+06,6.222e+08,3800,415.735,417,417,458,459,500,41,0
atomic/scalar,atomic,scalar,2,16,16,256,272217,5,2.77853e+06,2.44704e+06,3.01505e+06,7.11305e+08,3800,341.831,333,375,375,416,500,41,1
atomic/scalar,atomic,scalar,4,16,16,256,161069,5,1.58648e+06,1.49951e+06,1.62109e+06,4.0614e+08,3800,662.642,625,667,750,12291,13625,41,0
atomic/scalar,atomic,scalar,6,16,16,256,116932,5,1.42469e+06,1.30059e+06,1.44479e+06,3.64722e+08,3800,610.34,625,708,750,750,791,41,0
atomic/scalar,atomic,scalar,8,16,16,256,14988,5,187823,126306,217704,4.80826e+07,3800,3313.8,1000,11791,31542,36792,47542,41,0
atomic/scalar,atomic,scalar,10,16,16,256,5243,5,53719.1,43849.7,59053.1,1.37521e+07,3800,22462.8,21666,34166,42958,48042,66000,41,0
atomic/bitslice,atomic,bitslice,1,16,16,256,984931,5,9.80648e+06,9.77066e+06,9.86267e+06,2.51046e+09,3800,114.945,125,125,125,167,167,41,1
atomic/bitslice,atomic,bitslice,2,16,16,256,637937,5,6.31871e+06,5.78145e+06,6.74439e+06,1.61759e+09,3800,178.476,167,209,209,209,250,41,1
atomic/bitslice,atomic,bitslice,4,16,16,256,166612,5,1.66778e+06,1.63023e+06,1.74997e+06,4.26953e+08,3800,546.261,625,667,667,10375,12542,41,0
atomic/bitslice,atomic,bitslice,6,16,16,256,162589,5,1.58906e+06,1.51963e+06,1.65123e+06,4.06799e+08,3800,551.305,542,583,667,708,709,41,0
atomic/bitslice,atomic,bitslice,8,16,16,256,18718,5,221303,194355,304980,5.66536e+07,3800,8539.35,834,25958,36167,39125,44708,41,0
atomic/bitslice,atomic,bitslice,10,16,16,256,4673,5,61466.5,42441.2,64813.7,1.57354e+07,3800,23340.4,22125,35667,45250,47834,52250,41,0
