tier,grid_n,generations,seconds_total,gen_per_sec
serial,16,200,0.05727551100000028,3491.8937693982166
threads_4,16,200,0.11453075899999021,1746.2557809471698
numpy,16,200,0.03524851999998191,5673.997092646802
multiprocess_4,16,200,0.05594126999997684,3575.1780393988697
numba,16,200,0.0014447700000062014,138430.33839236802
serial,32,100,0.11497267999999394,869.7718449287715
threads_4,32,100,0.14900385400000005,671.1235804679251
numpy,32,100,0.020360151000005544,4911.5549290362715
multiprocess_4,32,100,0.060853823000002194,1643.282132003381
numba,32,100,0.0015119199999844568,66141.06566552995
serial,64,40,0.18174130100001662,220.09306514206335
threads_4,64,40,0.19816068500000483,201.85638740600348
numpy,64,40,0.008505288999998584,4702.95600772727
multiprocess_4,64,40,0.07229480999998827,553.290063284024
numba,64,40,0.001587924000006069,25190.122449088947
numpy,128,12,0.003064673000011453,3915.589036727623
multiprocess_4,128,12,0.07853440599998862,152.79927118824503
numba,128,12,0.0016329720000101133,7348.564457887632
